2023-09-22 10:23:20.397 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/a834bcfd-3982-43ed-a4c4-bc485fb4a304.jpg
2023-09-22 10:23:42.013 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:23:42.458 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/b6c37195-c0bd-4864-a777-0474145b43e3.jpg
2023-09-22 10:24:01.924 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:24:03.357 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:24:03.795 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/88f7ac42-73e6-4715-b6e9-b655610dbb9f.jpg
2023-09-22 10:24:24.986 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:24:25.429 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/fedf952d-0ef7-49e1-af17-b23224a2533b.jpg
2023-09-22 10:24:46.781 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:24:47.210 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/6ccbb0b5-f8f0-42af-a095-9f75a41f3209.jpg
2023-09-22 10:25:08.401 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:25:29.663 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:25:29.664 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:27:45.004 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/fae847aa-6df7-468b-9db0-09d303f57472.jpg
2023-09-22 10:28:04.855 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:28:05.801 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/7e0ae78f-5011-40ce-93e8-392e618c12ca.jpg
2023-09-22 10:28:26.136 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:28:30.940 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/6118e2e3-3c7b-4dfa-8fc7-33fed51ca4b6.jpg
2023-09-22 10:28:51.033 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:29:50.737 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:30:09.730 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/16e4a76e-3d63-48b9-b1ff-837015dfcc82.jpg
2023-09-22 10:30:29.333 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 1 is verified as the same person.
2023-09-22 10:32:22.261 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:32:22.267 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:32:36.452 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:32:36.453 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:32:48.517 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:32:48.519 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:32:50.851 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:32:50.853 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:32:50.853 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:32:50.854 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:32:50.855 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:32:50.856 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:32:50.856 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:32:50.857 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:32:50.857 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:227 - Read frame failures reached 10. Restarting the camera...
2023-09-22 10:32:52.491 | INFO     | imagelive.management.commands.camera_recognize_background:background_process:202 - Connected to the camera.
2023-09-22 10:34:02.698 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:35:14.162 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:35:58.761 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/4699fcdc-828e-4446-a6b2-a0ed2e8eb0e0.jpg
2023-09-22 10:36:31.005 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:101 - Face ID 3 is verified as a new person.
2023-09-22 10:36:31.412 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/906471f4-5657-424c-954b-330bdfc3d29e.jpg
2023-09-22 10:36:53.241 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 3 is verified as the same person.
2023-09-22 10:36:53.698 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/3eff4080-3f19-41ed-800a-ab32054ace12.jpg
2023-09-22 10:37:19.960 | INFO     | imagelive.management.commands.camera_recognize_background:recognize_face:95 - Face ID 3 is verified as the same person.
2023-09-22 10:37:20.720 | INFO     | imagelive.management.commands.camera_recognize_background:save_image:172 - Saved image to images/frames/8128661c-795a-4ffd-bb0a-2db053c6cc7c.jpg
2023-09-22 10:37:21.904 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
2023-09-22 10:37:21.905 | ERROR    | imagelive.management.commands.camera_recognize_background:background_process:210 - Failed to capture frame.
